"Id","Priority","Type","Queue","ScenarioElapsedMinutes","TargetMinutes","WithinScenarioTarget","EvaluationType","LabStatus"
"INC-0001","P3","Incident","Identity L2","18","2880","True","Scenario input; not measured performance","Simulated"
"INC-0002","P3","Incident","Identity L2","32","2880","True","Scenario input; not measured performance","Simulated"
"INC-0003","P3","Incident","Endpoint L2","44","2880","True","Scenario input; not measured performance","Simulated"
"SR-0004","P4","Service Request","Endpoint L2","27","7200","True","Scenario input; not measured performance","Simulated"
"INC-0005","P3","Incident","Infrastructure L2","36","2880","True","Scenario input; not measured performance","Simulated"
"INC-0006","P2","Incident","Infrastructure L2","51","480","True","Scenario input; not measured performance","Simulated"
"INC-0007","P2","Incident","Identity L2","39","480","True","Scenario input; not measured performance","Simulated"
"SR-0008","P3","Service Request","Service Desk L1","29","2880","True","Scenario input; not measured performance","Simulated"
"INC-0009","P1","Incident","Security/Incident","22","240","True","Scenario input; not measured performance","Simulated"
"INC-0010","P1","Incident","Security/Incident","96","240","True","Scenario input; not measured performance","Simulated"
